time	1e4	1e5	1e6	1e7	2e7	3e7	4e7	5e6	5e7	update	watcher
154	0.002289500501420763	0.018624149836026706	0.17568325996398926	-	-	-	-	-	-	0.0017492645223375776	2
155	0.0022982774778854014	0.018298234258379256	0.17618751525878906	-	-	-	-	0.8710737228393555	-	0.001263808332597618	2
156	0.0022981577141340387	0.017950594425201416	0.1755503018697103	1.7693748474121094	-	-	-	0.8756341934204102	-	0.0012042951114072	2
157	0.0023140280459408467	0.01828561888800727	0.17558892567952475	-	-	-	-	-	8.711437463760376	0.0013025878591740386	2
158	0.002442106237552436	0.01797508341925485	0.17511908213297525	-	3.4800362586975098	-	-	0.8702867031097412	-	0.0012364435677576547	2
159	0.002390086072162517	0.018284135394626193	0.17513036727905273	-	-	-	-	-	-	0.0013258906194955032	2
160	0.0023829077298824605	0.01823089740894459	0.17563088734944662	1.7951745986938477	-	-	-	0.8751871585845947	-	0.002022683620452881	2
161	0.0023576255050002104	0.01830169984272548	0.17542020479838052	-	-	-	-	-	-	0.002894415574915269	2
162	0.002352118492126465	0.018032268241599755	0.17583966255187988	-	-	-	7.214976072311401	0.8707578182220459	-	0.001752089571069788	2
163	0.0023594947088332405	0.018054195812770298	0.17534025510152182	1.7773854732513428	-	5.220911502838135	-	0.8754422664642334	-	0.002832725348062073	2
164	0.002377645980908675	0.018371608522203233	0.1761000951131185	-	-	-	-	-	-	0.0012502769629160564	2
165	0.002388803279342283	0.018363767200046115	0.17759358882904053	-	3.465777635574341	-	-	0.8719615936279297	-	0.0012577523915504123	2
166	0.002398091612510311	0.01857643657260471	0.17590999603271484	-	-	-	-	-	-	0.0016484076544742456	2
167	0.0024171864114156585	0.018575915583857783	0.1778711477915446	1.7920856475830078	-	-	-	0.8744146823883057	-	0.001801231405237219	2
168	0.002410190861399581	0.01838244332207574	0.17589259147644043	-	-	-	-	-	-	0.0012854672479504362	2
169	0.002410014082745808	0.0182464564288104	0.1758753458658854	-	-	-	-	0.8678286075592041	-	0.029295469585217927	2
170	0.002403702386995641	0.01804546798978533	0.20810349782307944	1.772995948791504	-	-	-	0.9706642627716064	-	0.009467363357543945	2
171	0.0024139113542510243	0.018597576353285048	0.1802535057067871	-	-	-	-	-	-	0.00806790883423852	2
172	0.00241230639015756	0.01803830691746303	0.17573181788126627	-	3.476896047592163	-	-	0.8711507320404053	-	0.158139169216156	2
173	0.002423497976041308	0.018593668937683105	0.1771427790323893	-	-	5.81036376953125	-	-	-	0.2592688798904419	2
174	0.002455109980568957	0.018600790588944045	0.1788012981414795	1.7943618297576904	-	-	-	0.8765699863433838	-	0.126814603805542	2
175	0.002428249985563989	0.018744645295319735	0.1773972511291504	-	-	-	-	-	8.782817125320435	0.16174753506978354	2
176	0.002413726434475038	0.022257442059724228	0.17666355768839517	-	-	-	-	0.8757820129394531	-	0.13841283321380615	2
177	0.0024076008215183167	0.039758106072743736	0.17656143506368002	-	-	-	7.252777099609375	-	-	0.08947896957397461	2
178	0.0024218150213652966	0.03218619525432587	0.1778686841328939	1.7806127071380615	-	-	-	0.8789994716644287	-	0.07521422704060872	2
179	0.0024190390982278963	0.018384438973885996	0.17583239078521729	-	3.467146158218384	-	-	0.8808953762054443	-	0.01938860504715531	2
180	0.002434146815332873	0.01856729719373915	0.17670345306396484	-	-	-	-	-	-	0.005084685275429174	2
181	0.0024230339947868794	0.018842577934265137	0.1758879025777181	1.8057401180267334	-	-	-	0.8751645088195801	-	0.005759000778198242	2
182	0.0024327527126067963	0.01874794783415618	0.17628749211629233	-	-	-	-	-	-	0.09068862597147624	2
183	0.0024538229947066426	0.018092234929402668	0.1841124693552653	-	-	-	-	0.8740086555480957	-	0.1885856787363688	2
184	0.0024897417231420776	0.017812413828713552	0.17601287364959717	-	-	-	-	-	-	0.0029557374807504507	2
185	0.0023541575386410666	0.018230012484959195	0.17581391334533691	1.7930092811584473	-	5.289420127868652	-	0.8795571327209473	-	0.001292252730311386	2
186	0.0023619337723805355	0.018345665048669885	0.1769434611002604	-	3.513049840927124	-	-	0.8797280788421631	-	0.0009430681617514601	2
187	0.002334610471185648	0.018822660812964805	0.17694703737894693	-	-	-	-	-	-	0.0013474505138134497	2
188	0.0023190594614951265	0.01860338670236093	0.17744930585225424	1.81135892868042	-	-	-	0.9407079219818115	-	0.0010901574853816021	2
189	0.002344792229788644	0.0199208927154541	0.18674182891845703	-	-	-	-	-	-	0.0011298501574522933	2
190	0.0021486220152481745	0.01951920069181002	0.18905210494995117	-	-	-	-	0.8742027282714844	-	0.0006277220589773995	2
191	0.002005706957685269	0.03175473213195801	0.18798343340555826	-	-	-	7.068154811859131	-	-	0.0005550209049866578	2
192	0.0019792485907374614	0.018419284086961012	0.17807451883951822	1.8375015258789062	-	-	-	0.8831939697265625	8.951571941375732	0.0004123839675485825	2
193	0.001936593393641194	0.017960940088544573	0.23266291618347168	-	3.7038023471832275	-	-	-	-	0.0004980631523731491	2
194	0.0024345073793909234	0.01922762393951416	0.2145458459854126	-	-	-	-	0.8800528049468994	-	0.0007145411922039822	2
195	0.0020320111341437194	0.018562564143428096	0.1788324515024821	-	-	5.351062774658203	-	0.8896775245666504	-	0.0006045098619472936	2
196	0.0021997690200805664	0.019390362959641676	0.17834695180257162	1.7931385040283203	-	-	-	-	-	0.0005517489505263995	2
197	0.002195297876993815	0.0195310115814209	0.1897590160369873	-	-	-	-	0.8899219036102295	-	0.000549302656620294	2
198	0.0020791722946808117	0.01838132313319615	0.17868789037068686	-	-	-	-	-	-	0.0005794369101234306	2
199	0.0021205567694329596	0.018271013542457862	0.17864354451497397	1.7809765338897705	-	-	-	0.889202356338501	-	0.0006217928675862101	2
200	0.0021151345000307784	0.018371961734913015	0.17763002713521323	-	3.495630979537964	-	-	-	-	0.0008568578061804307	2
201	0.002285984931168733	0.018572524741843895	0.1900645891825358	-	-	-	-	0.8827030658721924	-	0.0007517122069312704	2
202	0.0021634112370696886	0.017740419932774136	0.17471015453338623	-	-	-	-	0.8765523433685303	-	0.0010297122011729072	2
203	0.0024210366548276414	0.018006673880985806	0.17558749516805014	1.7716598510742188	-	-	-	-	-	0.0009113881821022894	2
204	0.002125340981544855	0.01755263124193464	0.17733025550842285	-	-	-	-	0.8747406005859375	-	0.0008606377122245504	2
